soil_type,temperature,rainfall,crop
Alluvial soil,22.5,120,Wheat
Black soil,28.1,180,Cotton
Clay soil,26.3,210,Paddy
Red soil,24.0,90,Groundnut
Alluvial soil,30.2,200,Rice
Black soil,23.5,80,Soybean
Clay soil,27.8,160,Sugarcane
Red soil,19.5,60,Millet
Alluvial soil,21.0,110,Wheat
Black soil,29.0,170,Cotton
Clay soil,25.5,220,Paddy
Red soil,22.0,100,Groundnut
Alluvial soil,31.0,210,Rice
Black soil,24.2,90,Soybean
Clay soil,28.0,180,Sugarcane
Red soil,20.0,70,Millet
Alluvial soil,23.0,130,Wheat
Black soil,27.5,160,Cotton
Clay soil,26.0,200,Paddy
Red soil,25.0,110,Groundnut
Alluvial soil,32.0,220,Rice
Black soil,22.5,85,Soybean
Clay soil,29.0,170,Sugarcane
Red soil,18.5,55,Millet
Alluvial soil,20.5,100,Wheat
Black soil,30.0,190,Cotton
Clay soil,24.5,210,Paddy
Red soil,23.0,95,Groundnut
Alluvial soil,33.0,230,Rice
Black soil,25.0,95,Soybean
Clay soil,27.0,150,Sugarcane
Red soil,21.0,80,Millet
Alluvial soil,22.0,120,Wheat
Black soil,28.5,175,Cotton
Clay soil,25.8,215,Paddy
Red soil,24.5,105,Groundnut
Alluvial soil,31.5,215,Rice
Black soil,23.8,88,Soybean
Clay soil,28.5,175,Sugarcane
Red soil,19.0,65,Millet
Alluvial soil,21.5,115,Wheat
Black soil,29.5,185,Cotton
Clay soil,26.5,205,Paddy
Red soil,22.5,98,Groundnut
Alluvial soil,32.5,225,Rice
Black soil,24.5,92,Soybean
Clay soil,29.5,165,Sugarcane
Red soil,20.5,75,Millet
Alluvial soil,23.5,135,Wheat
Black soil,27.0,155,Cotton
Clay soil,27.2,195,Paddy
Red soil,25.5,115,Groundnut
Alluvial soil,30.5,205,Rice
Black soil,22.8,82,Soybean
Clay soil,28.2,185,Sugarcane
Red soil,18.0,50,Millet
Alluvial soil,20.0,105,Wheat
Black soil,31.0,195,Cotton
Clay soil,24.0,225,Paddy
Red soil,23.5,97,Groundnut
Alluvial soil,34.0,240,Rice
Black soil,25.5,98,Soybean
Clay soil,27.5,155,Sugarcane
Red soil,21.5,85,Millet
Alluvial soil,22.8,125,Wheat
Black soil,28.8,178,Cotton
Clay soil,25.2,218,Paddy
Red soil,24.2,108,Groundnut
Alluvial soil,31.2,218,Rice
Black soil,23.2,89,Soybean
Clay soil,28.8,178,Sugarcane
Red soil,19.2,68,Millet
Alluvial soil,21.2,112,Wheat
Black soil,29.2,188,Cotton
Clay soil,26.2,202,Paddy
Red soil,22.2,99,Groundnut
Alluvial soil,32.2,228,Rice
Black soil,24.2,93,Soybean
Clay soil,29.2,168,Sugarcane
Red soil,20.2,78,Millet
Alluvial soil,23.2,132,Wheat
Black soil,27.2,152,Cotton
Clay soil,27.7,192,Paddy
Red soil,25.2,112,Groundnut
Alluvial soil,30.2,202,Rice
Black soil,22.2,83,Soybean
Clay soil,28.2,182,Sugarcane
Red soil,18.2,52,Millet
Alluvial soil,20.2,102,Wheat
Black soil,30.2,192,Cotton
Clay soil,24.2,222,Paddy
Red soil,23.2,92,Groundnut
Alluvial soil,33.2,232,Rice
Black soil,25.2,97,Soybean
Clay soil,27.2,157,Sugarcane
Red soil,21.2,82,Millet
Alluvial soil,22.2,122,Wheat
Black soil,28.2,172,Cotton
Clay soil,25.7,217,Paddy
Red soil,24.7,107,Groundnut
Alluvial soil,31.7,217,Rice
Black soil,23.7,87,Soybean
Clay soil,28.7,177,Sugarcane
Red soil,19.7,67,Millet
Alluvial soil,21.7,117,Wheat
Black soil,29.7,187,Cotton
Clay soil,26.7,207,Paddy
Red soil,22.7,97,Groundnut
Alluvial soil,32.7,227,Rice
Black soil,24.7,91,Soybean
Clay soil,29.7,167,Sugarcane
Red soil,20.7,77,Millet
Alluvial soil,23.7,137,Wheat
Black soil,27.7,157,Cotton
Clay soil,27.3,197,Paddy
Red soil,25.7,117,Groundnut
Alluvial soil,30.7,207,Rice
Black soil,22.7,81,Soybean
Clay soil,28.3,187,Sugarcane
Red soil,18.7,51,Millet
Alluvial soil,20.7,107,Wheat
Black soil,31.7,197,Cotton
Clay soil,24.7,227,Paddy
Red soil,23.7,96,Groundnut
Alluvial soil,34.7,247,Rice
Black soil,25.7,99,Soybean
Clay soil,27.7,159,Sugarcane
Red soil,21.7,87,Millet
Alluvial soil,22.7,127,Wheat
Black soil,28.7,177,Cotton
Clay soil,25.3,219,Paddy
Red soil,24.3,109,Groundnut
Alluvial soil,31.3,219,Rice
Black soil,23.3,90,Soybean
Clay soil,28.9,179,Sugarcane
Red soil,19.3,69,Millet
Alluvial soil,21.3,113,Wheat
Black soil,29.3,189,Cotton
Clay soil,26.3,203,Paddy
Red soil,22.3,101,Groundnut
Alluvial soil,32.3,229,Rice
Black soil,24.3,94,Soybean
Clay soil,29.3,169,Sugarcane
Red soil,20.3,79,Millet
Alluvial soil,23.3,133,Wheat
Black soil,27.3,153,Cotton
Clay soil,27.8,193,Paddy
Red soil,25.3,113,Groundnut
Alluvial soil,30.3,203,Rice
Black soil,22.3,84,Soybean
Clay soil,28.3,183,Sugarcane
Red soil,18.3,53,Millet
Alluvial soil,20.3,103,Wheat
Black soil,30.3,193,Cotton
Clay soil,24.3,223,Paddy
Red soil,23.3,93,Groundnut
Alluvial soil,33.3,233,Rice
Black soil,25.3,96,Soybean
Clay soil,27.3,158,Sugarcane
Red soil,21.3,83,Millet
Alluvial soil,22.3,123,Wheat
Black soil,28.3,173,Cotton
Clay soil,25.8,218,Paddy
Red soil,24.8,108,Groundnut
Alluvial soil,31.8,218,Rice
Black soil,23.8,88,Soybean
Clay soil,28.8,178,Sugarcane
Red soil,19.8,68,Millet
Alluvial soil,21.8,118,Wheat
Black soil,29.8,188,Cotton
Clay soil,26.8,208,Paddy
Red soil,22.8,98,Groundnut
Alluvial soil,32.8,228,Rice
Black soil,24.8,92,Soybean
Clay soil,29.8,168,Sugarcane
Red soil,20.8,78,Millet
Alluvial soil,23.8,138,Wheat
Black soil,27.8,158,Cotton
Clay soil,27.4,198,Paddy
Red soil,25.8,118,Groundnut
Alluvial soil,30.8,208,Rice
Black soil,22.8,82,Soybean
Clay soil,28.4,188,Sugarcane
Red soil,18.8,54,Millet
Alluvial soil,20.8,108,Wheat
Black soil,31.8,198,Cotton
Clay soil,24.8,228,Paddy
Red soil,23.8,98,Groundnut
Alluvial soil,34.8,248,Rice
Black soil,25.8,100,Soybean
Clay soil,27.8,160,Sugarcane
Red soil,21.8,88,Millet 